ID,age,current_occupation,first_interaction,profile_completed,website_visits,time_spent_on_website,page_views_per_visit,last_activity,print_media_type1,print_media_type2,digital_media,educational_channels,referral,status
EXT001,57,Unemployed,Website,High,7,1639,1.861,Website Activity,Yes,No,Yes,No,No,1
EXT002,56,Professional,Mobile App,Medium,2,83,0.32,Website Activity,No,No,No,Yes,No,0
EXT003,52,Professional,Website,Medium,3,330,0.074,Website Activity,No,No,Yes,No,No,0
EXT004,53,Unemployed,Website,High,4,464,2.057,Website Activity,No,No,No,No,No,1
EXT005,23,Student,Website,High,4,600,16.914,Email Activity,No,No,No,No,No,0
EXT006,50,Unemployed,Mobile App,High,4,212,5.682,Phone Activity,No,No,No,Yes,No,0
EXT007,56,Professional,Mobile App,Medium,13,625,2.015,Website Activity,No,No,Yes,No,No,1
EXT008,57,Professional,Mobile App,Medium,2,517,2.985,Email Activity,No,No,No,No,No,0
EXT009,57,Professional,Mobile App,High,2,2231,2.194,Phone Activity,No,No,Yes,No,No,1
EXT010,59,Professional,Mobile App,High,1,1819,3.513,Phone Activity,No,No,No,No,No,0
EXT011,52,Professional,Website,Medium,2,433,2.14,Email Activity,No,No,No,No,No,1
EXT012,57,Professional,Website,High,3,616,3.485,Website Activity,Yes,Yes,No,No,No,1
EXT013,35,Professional,Website,High,4,239,2.214,Phone Activity,No,No,No,No,No,0
EXT014,23,Student,Website,High,3,115,2.69,Email Activity,No,No,No,No,No,0
EXT015,56,Professional,Website,High,6,358,0.279,Email Activity,No,No,No,No,No,0
EXT016,62,Unemployed,Mobile App,High,5,1057,5.605,Phone Activity,No,No,No,Yes,No,0
EXT017,47,Professional,Website,High,3,1419,3.45,Email Activity,No,No,Yes,No,Yes,1
EXT018,35,Professional,Mobile App,Medium,7,926,3.655,Phone Activity,No,No,No,Yes,No,0
EXT019,39,Unemployed,Website,Medium,2,97,2.948,Email Activity,No,No,No,No,No,0
EXT020,36,Professional,Mobile App,Medium,4,399,2.031,Email Activity,No,No,No,No,No,0
EXT021,20,Student,Mobile App,High,1,362,2.808,Email Activity,No,No,No,Yes,No,0
EXT022,60,Professional,Mobile App,High,3,56,3.691,Email Activity,No,No,No,No,No,0
EXT023,58,Unemployed,Website,High,1,271,2.561,Website Activity,Yes,No,No,No,No,0
EXT024,32,Unemployed,Website,Medium,5,352,3.773,Email Activity,No,No,Yes,Yes,No,0
EXT025,49,Professional,Mobile App,High,5,2293,3.233,Email Activity,No,No,No,No,No,1
EXT026,46,Professional,Website,Medium,4,1842,2.11,Email Activity,No,No,No,Yes,No,1
EXT027,46,Unemployed,Website,Medium,2,211,2.14,Phone Activity,Yes,Yes,No,No,No,0
EXT028,45,Professional,Mobile App,Medium,1,1631,1.5,Website Activity,No,No,Yes,No,No,0
EXT029,44,Unemployed,Mobile App,Low,4,299,2.172,Email Activity,No,No,No,Yes,No,0
EXT030,42,Unemployed,Website,High,2,62,2.158,Email Activity,No,No,No,No,No,0
EXT031,36,Professional,Mobile App,High,2,1,5.288,Email Activity,No,No,Yes,No,No,0
EXT032,55,Unemployed,Website,Medium,13,1055,1.373,Email Activity,No,No,Yes,Yes,No,1
EXT033,58,Professional,Mobile App,High,12,1151,18.434,Phone Activity,No,No,No,Yes,No,0
EXT034,56,Professional,Mobile App,Medium,0,0,0,Phone Activity,No,No,No,No,No,0
EXT035,55,Professional,Website,High,2,552,1.885,Email Activity,No,No,No,No,No,1
EXT036,46,Professional,Website,Medium,2,85,1.85,Email Activity,No,No,No,No,No,0
EXT037,59,Professional,Website,Medium,1,298,1.212,Phone Activity,No,No,No,No,No,0
EXT038,59,Professional,Website,High,0,0,0,Email Activity,No,No,No,No,No,1
EXT039,39,Professional,Mobile App,Medium,4,44,5.292,Email Activity,No,No,No,No,No,0
EXT040,38,Professional,Website,Medium,2,301,0.004,Email Activity,Yes,No,No,No,No,0
EXT041,57,Unemployed,Website,High,3,439,3.843,Email Activity,No,No,No,No,No,0
EXT042,38,Unemployed,Website,Medium,2,102,5.229,Phone Activity,No,No,No,No,No,0
EXT043,44,Professional,Mobile App,High,6,42,3.395,Website Activity,No,No,No,No,No,0
EXT044,57,Professional,Mobile App,Medium,3,292,1.946,Email Activity,No,Yes,No,No,No,0
EXT045,56,Professional,Website,High,2,1,2.064,Email Activity,No,No,No,No,No,0
EXT046,18,Student,Website,High,2,87,1.402,Phone Activity,No,No,No,No,No,0
EXT047,60,Professional,Website,High,5,2284,2.939,Email Activity,No,No,No,No,No,1
EXT048,35,Professional,Mobile App,Medium,2,497,7.05,Email Activity,No,No,No,No,No,0
EXT049,40,Unemployed,Website,Medium,7,1278,4.722,Email Activity,No,No,No,Yes,No,0
EXT050,44,Professional,Mobile App,Medium,1,419,4.285,Phone Activity,No,No,No,No,No,0
EXT051,19,Student,Mobile App,High,7,354,3.2,Website Activity,No,No,Yes,No,No,0
EXT052,56,Professional,Mobile App,High,8,718,2.395,Email Activity,No,No,No,No,No,1
EXT053,56,Professional,Website,High,1,582,2.138,Email Activity,No,No,No,No,Yes,1
